alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
2.8,0,0.020000000000000004,myopic,273.9383152173223,273.9383152173223,0.0,4,0.3,1.0,0.3
2.8,0,0.020000000000000004,nominal_dynamic,273.7797170776553,273.9383152173223,0.15859813966704905,4,0.3,1.0,0.3
2.8,0,0.020000000000000004,dro,273.6187159764273,273.9383152173223,0.3195992408950019,4,0.3,1.0,0.3
2.85,0,0.020000000000000004,myopic,278.87949712976973,278.87949712976973,0.0,4,0.3,1.0,0.3
2.85,0,0.020000000000000004,nominal_dynamic,278.7088534509966,278.87949712976973,0.1706436787731036,4,0.3,1.0,0.3
2.85,0,0.020000000000000004,dro,278.53562430557446,278.87949712976973,0.3438728241952731,4,0.3,1.0,0.3
2.9,0,0.020000000000000004,myopic,283.82067904221714,283.82067904221714,0.0,4,0.3,1.0,0.3
2.9,0,0.020000000000000004,nominal_dynamic,283.6379898243379,283.82067904221714,0.182689217879215,4,0.3,1.0,0.3
2.9,0,0.020000000000000004,dro,283.6379898243379,283.82067904221714,0.182689217879215,4,0.3,1.0,0.3
2.95,0,0.020000000000000004,myopic,288.7618609546645,288.7618609546645,0.0,4,0.3,1.0,0.3
2.95,0,0.020000000000000004,nominal_dynamic,288.5671261976792,288.7618609546645,0.19473475698526954,4,0.3,1.0,0.3
2.95,0,0.020000000000000004,dro,288.5671261976792,288.7618609546645,0.19473475698526954,4,0.3,1.0,0.3
3.0,0,0.020000000000000004,myopic,293.7030428671119,293.7030428671119,0.0,4,0.3,1.0,0.3
3.0,0,0.020000000000000004,nominal_dynamic,293.49626257102057,293.7030428671119,0.2067802960913241,4,0.3,1.0,0.3
3.0,0,0.020000000000000004,dro,293.49626257102057,293.7030428671119,0.2067802960913241,4,0.3,1.0,0.3
0.0,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.0,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.0,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.05,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.05,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
